とれ,307,1065,7000,動詞,非自立,*,*,五段・ラ行,仮定形,とる,トレ,トレ
とれ,307,1169,7000,動詞,非自立,*,*,五段・ラ行,命令ｅ,とる,トレ,トレ
とろ,307,1130,7000,動詞,非自立,*,*,五段・ラ行,未然ウ接続,とる,トロ,トロ
どら,308,1143,7500,動詞,非自立,*,*,五段・ラ行,未然形,どる,ドラ,ドラ
どり,308,1195,7500,動詞,非自立,*,*,五段・ラ行,連用形,どる,ドリ,ドリ
どっ,308,1182,7500,動詞,非自立,*,*,五段・ラ行,連用タ接続,とる,ドッ,ドッ
どりゃ,308,1078,7500,動詞,非自立,*,*,五段・ラ行,仮定縮約１,どりゃ,ドリャ,ドリャ
どる,308,1091,7500,動詞,非自立,*,*,五段・ラ行,基本形,どる,ドル,ドル
どれ,308,1065,7500,動詞,非自立,*,*,五段・ラ行,仮定形,どる,ドレ,ドレ
どれ,308,1169,7500,動詞,非自立,*,*,五段・ラ行,命令ｅ,どる,ドレ,ドレ
どろ,308,1130,7500,動詞,非自立,*,*,五段・ラ行,未然ウ接続,どる,ドロ,ドロ
